--- scanner 0 ---
404,-588,-901
528,-643,409
-838,591,734
390,-675,-793
-537,-823,-458
-485,-357,347
-345,-311,381
-661,-816,-575
-876,649,763
-618,-824,-621
553,345,-567
474,580,667
-447,-329,318
-584,868,-557
544,-627,-890
564,392,-477
455,729,728
-892,524,684
-689,845,-530
423,-701,434
7,-33,-71
630,319,-379
443,580,662
-789,900,-551
459,-707,401

--- scanner 1 ---
-686,422,-578
-605,423,-415
-515,917,361
336,658,-858
-95,138,-22
476,619,-847
340,-569,846
-567,-361,-727
460,603,452
-669,-402,-600
-729,430,-532
500,-761,-534
322,571,-750
466,-666,811
429,-592,-574
355,545,477
-703,-491,529
328,-685,-520
-413,935,424
391,539,444
-586,-435,-557
364,-763,893
-807,-499,711
-755,-354,619
-553,889,390

--- scanner 2 ---
640,649,665
-795,682,504
533,-784,-524
584,-644,-595
-843,-588,648
6,-30,44
560,-674,763
723,500,-460
671,609,-379
-800,-555,653
-892,-675,-343
-426,697,-610
704,578,681
664,493,-388
-858,-671,530
343,-667,800
-461,571,-707
-166,-138,112
563,-889,-600
-828,646,498
759,640,510
509,-630,768
-892,-681,-333
-379,673,-804
-814,-742,-386
-820,577,562

--- scanner 3 ---
-542,-589,-597
692,605,-669
-565,-500,823
-373,-660,-557
679,-458,417
-449,-488,-543
-468,-626,788
750,338,386
832,528,391
778,562,-733
730,-938,-414
-643,543,506
-371,-524,870
-773,407,-750
-29,-104,-83
903,378,323
728,-778,-485
-699,426,-580
605,-438,362
447,-469,387
-732,509,-623
-635,647,688
804,-868,-481
800,614,-639
-780,595,596

--- scanner 4 ---
-562,-592,-727
-779,554,293
461,-611,-441
776,-465,714
804,-427,743
426,479,660
-460,632,-832
438,485,-927
506,-393,-408
512,-436,-466
-151,-16,-110
-682,428,258
-612,-719,393
-876,452,211
593,476,-808
-604,-615,575
-467,-667,485
822,-325,680
432,443,627
609,547,-872
-582,-512,-833
-487,-604,-807
-451,516,-839
-532,625,-891
490,548,652
14,46,-30
